Date (Year-Month),Location,Category,Reference_Index,Index(%)
2008-03,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",95.0
2008-03,"Greater Sudbury, Ontario",House only,"Index, 201612=100",95.4
2008-03,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",94.1
2008-03,Prairie Region,Total (house and land),"Index, 201612=100",100.3
2008-03,Prairie Region,House only,"Index, 201612=100",101.9
2008-03,Prairie Region,Land only,"Index, 201612=100",97.2
2008-03,Manitoba,Total (house and land),"Index, 201612=100",75.2
2008-03,Manitoba,House only,"Index, 201612=100",76.1
2008-03,Manitoba,Land only,"Index, 201612=100",73.2
2008-03,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",75.2
2008-03,"Winnipeg, Manitoba",House only,"Index, 201612=100",76.1
2008-03,"Winnipeg, Manitoba",Land only,"Index, 201612=100",73.2
2008-03,Saskatchewan,Total (house and land),"Index, 201612=100",90.0
2008-03,Saskatchewan,House only,"Index, 201612=100",97.3
2008-03,Saskatchewan,Land only,"Index, 201612=100",70.0
2008-03,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",75.2
2008-03,"Regina, Saskatchewan",House only,"Index, 201612=100",80.4
2008-03,"Regina, Saskatchewan",Land only,"Index, 201612=100",60.0
2008-03,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",104.8
2008-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",114.9
2008-03,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",78.2
2008-03,Alberta,Total (house and land),"Index, 201612=100",103.3
2008-03,Alberta,House only,"Index, 201612=100",104.7
2008-03,Alberta,Land only,"Index, 201612=100",101.1
2008-03,"Calgary, Alberta",Total (house and land),"Index, 201612=100",93.6
2008-03,"Calgary, Alberta",House only,"Index, 201612=100",96.4
2008-03,"Calgary, Alberta",Land only,"Index, 201612=100",88.6
2008-03,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",113.8
2008-03,"Edmonton, Alberta",House only,"Index, 201612=100",113.1
2008-03,"Edmonton, Alberta",Land only,"Index, 201612=100",115.8
2008-03,British Columbia,Total (house and land),"Index, 201612=100",102.2
2008-03,British Columbia,House only,"Index, 201612=100",104.1
2008-03,British Columbia,Land only,"Index, 201612=100",99.8
2008-03,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2008-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
2008-03,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2008-03,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",100.7
2008-03,"Vancouver, British Columbia",House only,"Index, 201612=100",101.9
2008-03,"Vancouver, British Columbia",Land only,"Index, 201612=100",99.5
2008-03,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",116.0
2008-03,"Victoria, British Columbia",House only,"Index, 201612=100",126.0
2008-03,"Victoria, British Columbia",Land only,"Index, 201612=100",102.6
2008-04,Canada,Total (house and land),"Index, 201612=100",88.1
2008-04,Canada,House only,"Index, 201612=100",86.3
2008-04,Canada,Land only,"Index, 201612=100",92.4
2008-04,Atlantic Region,Total (house and land),"Index, 201612=100",84.9
2008-04,Atlantic Region,House only,"Index, 201612=100",86.9
2008-04,Atlantic Region,Land only,"Index, 201612=100",78.2
2008-04,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",74.6
2008-04,Newfoundland and Labrador,House only,"Index, 201612=100",77.9
2008-04,Newfoundland and Labrador,Land only,"Index, 201612=100",66.2
2008-04,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",74.6
2008-04,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",77.9
2008-04,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",66.2
2008-04,Prince Edward Island,Total (house and land),"Index, 201612=100",98.6
2008-04,Prince Edward Island,House only,"Index, 201612=100",101.3
2008-04,Prince Edward Island,Land only,"Index, 201612=100",87.4
2008-04,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",98.6
2008-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
2008-04,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",87.4
2008-04,Nova Scotia,Total (house and land),"Index, 201612=100",89.5
2008-04,Nova Scotia,House only,"Index, 201612=100",89.5
2008-04,Nova Scotia,Land only,"Index, 201612=100",89.4
2008-04,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",89.5
2008-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.5
2008-04,"Halifax, Nova Scotia",Land only,"Index, 201612=100",89.4
2008-04,New Brunswick,Total (house and land),"Index, 201612=100",92.3
2008-04,New Brunswick,House only,"Index, 201612=100",92.5
2008-04,New Brunswick,Land only,"Index, 201612=100",92.7
2008-04,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",92.3
2008-04,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",92.5
2008-04,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",92.7
2008-04,Quebec,Total (house and land),"Index, 201612=100",86.6
2008-04,Quebec,House only,"Index, 201612=100",88.7
2008-04,Quebec,Land only,"Index, 201612=100",81.8
2008-04,"Québec, Quebec",Total (house and land),"Index, 201612=100",85.4
2008-04,"Québec, Quebec",House only,"Index, 201612=100",89.9
2008-04,"Québec, Quebec",Land only,"Index, 201612=100",76.9
2008-04,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2008-04,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2008-04,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2008-04,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2008-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2008-04,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2008-04,"Montréal, Quebec",Total (house and land),"Index, 201612=100",86.8
2008-04,"Montréal, Quebec",House only,"Index, 201612=100",88.3
2008-04,"Montréal, Quebec",Land only,"Index, 201612=100",83.2
2008-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2008-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2008-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2008-04,Ontario,Total (house and land),"Index, 201612=100",78.7
2008-04,Ontario,House only,"Index, 201612=100",73.8
2008-04,Ontario,Land only,"Index, 201612=100",90.2
2008-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",89.5
2008-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",89.8
2008-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",91.0
2008-04,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2008-04,"Oshawa, Ontario",House only,"Index, 201612=100",
2008-04,"Oshawa, Ontario",Land only,"Index, 201612=100",
2008-04,"Toronto, Ontario",Total (house and land),"Index, 201612=100",74.6
2008-04,"Toronto, Ontario",House only,"Index, 201612=100",67.7
2008-04,"Toronto, Ontario",Land only,"Index, 201612=100",88.7
2008-04,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",86.0
2008-04,"Hamilton, Ontario",House only,"Index, 201612=100",81.9
2008-04,"Hamilton, Ontario",Land only,"Index, 201612=100",95.1
2008-04,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",86.5
2008-04,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",82.6
2008-04,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",97.1
2008-04,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",85.8
2008-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",81.7
2008-04,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",99.0
2008-04,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2008-04,"Guelph, Ontario",House only,"Index, 201612=100",
2008-04,"Guelph, Ontario",Land only,"Index, 201612=100",
2008-04,"London, Ontario",Total (house and land),"Index, 201612=100",86.0
2008-04,"London, Ontario",House only,"Index, 201612=100",83.0
2008-04,"London, Ontario",Land only,"Index, 201612=100",99.8
2008-04,"Windsor, Ontario",Total (house and land),"Index, 201612=100",94.8
2008-04,"Windsor, Ontario",House only,"Index, 201612=100",94.7
2008-04,"Windsor, Ontario",Land only,"Index, 201612=100",94.7
2008-04,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",95.0
2008-04,"Greater Sudbury, Ontario",House only,"Index, 201612=100",95.4
2008-04,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",94.1
2008-04,Prairie Region,Total (house and land),"Index, 201612=100",99.9
2008-04,Prairie Region,House only,"Index, 201612=100",101.2
2008-04,Prairie Region,Land only,"Index, 201612=100",97.4
2008-04,Manitoba,Total (house and land),"Index, 201612=100",75.2
2008-04,Manitoba,House only,"Index, 201612=100",76.6
2008-04,Manitoba,Land only,"Index, 201612=100",71.9
2008-04,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",75.2
2008-04,"Winnipeg, Manitoba",House only,"Index, 201612=100",76.6
2008-04,"Winnipeg, Manitoba",Land only,"Index, 201612=100",71.9
2008-04,Saskatchewan,Total (house and land),"Index, 201612=100",93.1
2008-04,Saskatchewan,House only,"Index, 201612=100",100.4
2008-04,Saskatchewan,Land only,"Index, 201612=100",72.7
2008-04,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",80.5
2008-04,"Regina, Saskatchewan",House only,"Index, 201612=100",85.8
2008-04,"Regina, Saskatchewan",Land only,"Index, 201612=100",65.1
2008-04,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",105.2
2008-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",115.4
2008-04,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",78.2
2008-04,Alberta,Total (house and land),"Index, 201612=100",102.6
2008-04,Alberta,House only,"Index, 201612=100",103.5
2008-04,Alberta,Land only,"Index, 201612=100",101.2
2008-04,"Calgary, Alberta",Total (house and land),"Index, 201612=100",92.9
2008-04,"Calgary, Alberta",House only,"Index, 201612=100",95.2
2008-04,"Calgary, Alberta",Land only,"Index, 201612=100",88.6
2008-04,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",113.1
2008-04,"Edmonton, Alberta",House only,"Index, 201612=100",112.0
2008-04,"Edmonton, Alberta",Land only,"Index, 201612=100",116.1
2008-04,British Columbia,Total (house and land),"Index, 201612=100",102.2
2008-04,British Columbia,House only,"Index, 201612=100",104.1
2008-04,British Columbia,Land only,"Index, 201612=100",100.0
2008-04,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2008-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
2008-04,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2008-04,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",100.8
2008-04,"Vancouver, British Columbia",House only,"Index, 201612=100",101.9
2008-04,"Vancouver, British Columbia",Land only,"Index, 201612=100",99.8
2008-04,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",115.7
2008-04,"Victoria, British Columbia",House only,"Index, 201612=100",125.6
2008-04,"Victoria, British Columbia",Land only,"Index, 201612=100",102.6
2008-05,Canada,Total (house and land),"Index, 201612=100",88.1
2008-05,Canada,House only,"Index, 201612=100",86.2
2008-05,Canada,Land only,"Index, 201612=100",92.5
2008-05,Atlantic Region,Total (house and land),"Index, 201612=100",86.1
2008-05,Atlantic Region,House only,"Index, 201612=100",87.8
2008-05,Atlantic Region,Land only,"Index, 201612=100",80.2
2008-05,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",77.4
2008-05,Newfoundland and Labrador,House only,"Index, 201612=100",80.6
2008-05,Newfoundland and Labrador,Land only,"Index, 201612=100",69.1
2008-05,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",77.4
2008-05,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",80.6
2008-05,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",69.1
2008-05,Prince Edward Island,Total (house and land),"Index, 201612=100",98.6
2008-05,Prince Edward Island,House only,"Index, 201612=100",101.3
2008-05,Prince Edward Island,Land only,"Index, 201612=100",87.4
2008-05,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",98.6
2008-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.3
2008-05,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",87.4
2008-05,Nova Scotia,Total (house and land),"Index, 201612=100",89.9
2008-05,Nova Scotia,House only,"Index, 201612=100",89.5
2008-05,Nova Scotia,Land only,"Index, 201612=100",91.3
2008-05,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",89.9
2008-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.5
2008-05,"Halifax, Nova Scotia",Land only,"Index, 201612=100",91.3
2008-05,New Brunswick,Total (house and land),"Index, 201612=100",92.3
2008-05,New Brunswick,House only,"Index, 201612=100",92.4
2008-05,New Brunswick,Land only,"Index, 201612=100",93.4
2008-05,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",92.3
2008-05,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",92.4
2008-05,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",93.4
2008-05,Quebec,Total (house and land),"Index, 201612=100",87.9
2008-05,Quebec,House only,"Index, 201612=100",90.2
2008-05,Quebec,Land only,"Index, 201612=100",82.7
2008-05,"Québec, Quebec",Total (house and land),"Index, 201612=100",85.7
2008-05,"Québec, Quebec",House only,"Index, 201612=100",90.2
2008-05,"Québec, Quebec",Land only,"Index, 201612=100",77.2
2008-05,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2008-05,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2008-05,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2008-05,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2008-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2008-05,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2008-05,"Montréal, Quebec",Total (house and land),"Index, 201612=100",88.3
2008-05,"Montréal, Quebec",House only,"Index, 201612=100",90.0
2008-05,"Montréal, Quebec",Land only,"Index, 201612=100",84.1
2008-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2008-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2008-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2008-05,Ontario,Total (house and land),"Index, 201612=100",78.7
2008-05,Ontario,House only,"Index, 201612=100",73.8
2008-05,Ontario,Land only,"Index, 201612=100",90.2
2008-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",90.0
2008-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",90.4
2008-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",91.0
2008-05,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2008-05,"Oshawa, Ontario",House only,"Index, 201612=100",
2008-05,"Oshawa, Ontario",Land only,"Index, 201612=100",
2008-05,"Toronto, Ontario",Total (house and land),"Index, 201612=100",74.5
2008-05,"Toronto, Ontario",House only,"Index, 201612=100",67.7
2008-05,"Toronto, Ontario",Land only,"Index, 201612=100",88.7
2008-05,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",86.2
2008-05,"Hamilton, Ontario",House only,"Index, 201612=100",82.2
2008-05,"Hamilton, Ontario",Land only,"Index, 201612=100",95.1
2008-05,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",86.6
2008-05,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",82.7
2008-05,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",97.1
2008-05,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",85.8
2008-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",81.6
2008-05,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",99.0
2008-05,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2008-05,"Guelph, Ontario",House only,"Index, 201612=100",
2008-05,"Guelph, Ontario",Land only,"Index, 201612=100",
2008-05,"London, Ontario",Total (house and land),"Index, 201612=100",86.3
2008-05,"London, Ontario",House only,"Index, 201612=100",83.3
2008-05,"London, Ontario",Land only,"Index, 201612=100",99.8
2008-05,"Windsor, Ontario",Total (house and land),"Index, 201612=100",94.5
2008-05,"Windsor, Ontario",House only,"Index, 201612=100",94.4
2008-05,"Windsor, Ontario",Land only,"Index, 201612=100",94.7
2008-05,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",96.8
2008-05,"Greater Sudbury, Ontario",House only,"Index, 201612=100",96.9
2008-05,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",97.0
2008-05,Prairie Region,Total (house and land),"Index, 201612=100",98.8
2008-05,Prairie Region,House only,"Index, 201612=100",99.9
2008-05,Prairie Region,Land only,"Index, 201612=100",97.1
2008-05,Manitoba,Total (house and land),"Index, 201612=100",76.6
2008-05,Manitoba,House only,"Index, 201612=100",76.9
2008-05,Manitoba,Land only,"Index, 201612=100",75.6
2008-05,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",76.6
2008-05,"Winnipeg, Manitoba",House only,"Index, 201612=100",76.9
2008-05,"Winnipeg, Manitoba",Land only,"Index, 201612=100",75.6
2008-05,Saskatchewan,Total (house and land),"Index, 201612=100",93.9
2008-05,Saskatchewan,House only,"Index, 201612=100",101.0
2008-05,Saskatchewan,Land only,"Index, 201612=100",74.1
2008-05,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",81.6
2008-05,"Regina, Saskatchewan",House only,"Index, 201612=100",86.8
2008-05,"Regina, Saskatchewan",Land only,"Index, 201612=100",65.9
2008-05,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",105.8
2008-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",115.4
2008-05,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",80.4
2008-05,Alberta,Total (house and land),"Index, 201612=100",101.2
2008-05,Alberta,House only,"Index, 201612=100",101.8
2008-05,Alberta,Land only,"Index, 201612=100",100.4
2008-05,"Calgary, Alberta",Total (house and land),"Index, 201612=100",92.1
2008-05,"Calgary, Alberta",House only,"Index, 201612=100",94.3
2008-05,"Calgary, Alberta",Land only,"Index, 201612=100",87.9
2008-05,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",110.9
2008-05,"Edmonton, Alberta",House only,"Index, 201612=100",109.3
2008-05,"Edmonton, Alberta",Land only,"Index, 201612=100",115.2
2008-05,British Columbia,Total (house and land),"Index, 201612=100",101.9
2008-05,British Columbia,House only,"Index, 201612=100",103.6
2008-05,British Columbia,Land only,"Index, 201612=100",100.0
2008-05,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2008-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
2008-05,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2008-05,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",100.5
2008-05,"Vancouver, British Columbia",House only,"Index, 201612=100",101.5
2008-05,"Vancouver, British Columbia",Land only,"Index, 201612=100",99.8
2008-05,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",115.0
2008-05,"Victoria, British Columbia",House only,"Index, 201612=100",124.4
2008-05,"Victoria, British Columbia",Land only,"Index, 201612=100",102.6
2008-06,Canada,Total (house and land),"Index, 201612=100",88.2
2008-06,Canada,House only,"Index, 201612=100",86.3
2008-06,Canada,Land only,"Index, 201612=100",92.7
2008-06,Atlantic Region,Total (house and land),"Index, 201612=100",87.1
2008-06,Atlantic Region,House only,"Index, 201612=100",88.3
2008-06,Atlantic Region,Land only,"Index, 201612=100",83.0
2008-06,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",79.6
2008-06,Newfoundland and Labrador,House only,"Index, 201612=100",81.9
2008-06,Newfoundland and Labrador,Land only,"Index, 201612=100",74.0
2008-06,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",79.6
2008-06,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",81.9
2008-06,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",74.0
2008-06,Prince Edward Island,Total (house and land),"Index, 201612=100",98.9
2008-06,Prince Edward Island,House only,"Index, 201612=100",101.7
2008-06,Prince Edward Island,Land only,"Index, 201612=100",87.4
2008-06,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",98.9
2008-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",101.7
2008-06,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",87.4
2008-06,Nova Scotia,Total (house and land),"Index, 201612=100",90.3
2008-06,Nova Scotia,House only,"Index, 201612=100",89.6
2008-06,Nova Scotia,Land only,"Index, 201612=100",92.8
2008-06,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",90.3
2008-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",89.6
2008-06,"Halifax, Nova Scotia",Land only,"Index, 201612=100",92.8
2008-06,New Brunswick,Total (house and land),"Index, 201612=100",92.6
2008-06,New Brunswick,House only,"Index, 201612=100",92.6
2008-06,New Brunswick,Land only,"Index, 201612=100",93.6
2008-06,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",92.6
2008-06,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",92.6
2008-06,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",93.6
2008-06,Quebec,Total (house and land),"Index, 201612=100",88.0
2008-06,Quebec,House only,"Index, 201612=100",90.3
2008-06,Quebec,Land only,"Index, 201612=100",82.7
2008-06,"Québec, Quebec",Total (house and land),"Index, 201612=100",85.9
2008-06,"Québec, Quebec",House only,"Index, 201612=100",90.5
2008-06,"Québec, Quebec",Land only,"Index, 201612=100",77.2
2008-06,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2008-06,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2008-06,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2008-06,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2008-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2008-06,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2008-06,"Montréal, Quebec",Total (house and land),"Index, 201612=100",88.4
2008-06,"Montréal, Quebec",House only,"Index, 201612=100",90.1
2008-06,"Montréal, Quebec",Land only,"Index, 201612=100",84.2
2008-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2008-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2008-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2008-06,Ontario,Total (house and land),"Index, 201612=100",79.0
2008-06,Ontario,House only,"Index, 201612=100",74.2
2008-06,Ontario,Land only,"Index, 201612=100",90.2
2008-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",90.8
2008-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",91.3
2008-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",91.0
2008-06,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2008-06,"Oshawa, Ontario",House only,"Index, 201612=100",
2008-06,"Oshawa, Ontario",Land only,"Index, 201612=100",
2008-06,"Toronto, Ontario",Total (house and land),"Index, 201612=100",74.8
2008-06,"Toronto, Ontario",House only,"Index, 201612=100",68.0
2008-06,"Toronto, Ontario",Land only,"Index, 201612=100",88.7
2008-06,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",85.7
2008-06,"Hamilton, Ontario",House only,"Index, 201612=100",81.5
2008-06,"Hamilton, Ontario",Land only,"Index, 201612=100",95.1
2008-06,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",87.0
2008-06,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",83.2
2008-06,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",97.1
2008-06,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",85.9
2008-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",81.8
2008-06,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",99.0
2008-06,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2008-06,"Guelph, Ontario",House only,"Index, 201612=100",
2008-06,"Guelph, Ontario",Land only,"Index, 201612=100",
2008-06,"London, Ontario",Total (house and land),"Index, 201612=100",87.0
2008-06,"London, Ontario",House only,"Index, 201612=100",84.1
2008-06,"London, Ontario",Land only,"Index, 201612=100",100.1
2008-06,"Windsor, Ontario",Total (house and land),"Index, 201612=100",94.8
2008-06,"Windsor, Ontario",House only,"Index, 201612=100",94.7
2008-06,"Windsor, Ontario",Land only,"Index, 201612=100",94.7
2008-06,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",96.7
2008-06,"Greater Sudbury, Ontario",House only,"Index, 201612=100",96.9
2008-06,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",96.3
2008-06,Prairie Region,Total (house and land),"Index, 201612=100",98.5
2008-06,Prairie Region,House only,"Index, 201612=100",99.0
2008-06,Prairie Region,Land only,"Index, 201612=100",97.7
2008-06,Manitoba,Total (house and land),"Index, 201612=100",77.4
2008-06,Manitoba,House only,"Index, 201612=100",77.4
2008-06,Manitoba,Land only,"Index, 201612=100",77.4
2008-06,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",77.4
2008-06,"Winnipeg, Manitoba",House only,"Index, 201612=100",77.4
2008-06,"Winnipeg, Manitoba",Land only,"Index, 201612=100",77.4
2008-06,Saskatchewan,Total (house and land),"Index, 201612=100",92.6
2008-06,Saskatchewan,House only,"Index, 201612=100",98.6
2008-06,Saskatchewan,Land only,"Index, 201612=100",76.3
2008-06,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",81.9
2008-06,"Regina, Saskatchewan",House only,"Index, 201612=100",87.3
2008-06,"Regina, Saskatchewan",Land only,"Index, 201612=100",65.9
2008-06,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",102.8
2008-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",109.7
2008-06,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",84.8
2008-06,Alberta,Total (house and land),"Index, 201612=100",100.8
2008-06,Alberta,House only,"Index, 201612=100",100.9
2008-06,Alberta,Land only,"Index, 201612=100",100.8
2008-06,"Calgary, Alberta",Total (house and land),"Index, 201612=100",92.0
2008-06,"Calgary, Alberta",House only,"Index, 201612=100",93.9
2008-06,"Calgary, Alberta",Land only,"Index, 201612=100",88.6
2008-06,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",110.0
2008-06,"Edmonton, Alberta",House only,"Index, 201612=100",107.9
2008-06,"Edmonton, Alberta",Land only,"Index, 201612=100",115.2
2008-06,British Columbia,Total (house and land),"Index, 201612=100",101.9
2008-06,British Columbia,House only,"Index, 201612=100",103.5
2008-06,British Columbia,Land only,"Index, 201612=100",100.0
